[file name]: dataset_especies.csv
[file content begin]
longitud_caparazon,setas_margen_frontal,n_dientes_margen_flexor,patron_granulacion_quelipodos,tipo_quilla_abdominal,n_placas_telson,especie
12.5,1,3,2,recta,7,Petrolisthes_armatus
11.8,0,3,1,curvada,7,Petrolisthes_armatus
13.2,1,3,2,recta,7,Petrolisthes_armatus
10.5,0,4,3,discontinua,7,Petrolisthes_galathinus
11.1,1,4,2,discontinua,7,Petrolisthes_galathinus
9.8,0,4,3,discontinua,7,Petrolisthes_galathinus
14.2,1,0,1,recta,7,Petrolisthes_marginatus
13.5,0,0,0,recta,7,Petrolisthes_marginatus
15.1,1,0,1,recta,7,Petrolisthes_marginatus
8.5,0,3,1,curvada,7,Petrolisthes_politus
9.2,1,3,2,curvada,7,Petrolisthes_politus
7.8,0,3,1,curvada,7,Petrolisthes_politus
10.2,1,2,2,discontinua,7,Petrolisthes_lewisi
9.7,0,2,1,discontinua,7,Petrolisthes_lewisi
11.1,1,3,2,discontinua,7,Petrolisthes_lewisi
16.5,0,0,0,recta,5,Petrolisthes_jugosus
15.8,1,0,0,recta,5,Petrolisthes_jugosus
17.2,0,0,0,recta,5,Petrolisthes_jugosus
13.8,1,0,1,curvada,7,Petrolisthes_tridentatus
12.5,0,0,0,curvada,7,Petrolisthes_tridentatus
14.1,1,0,1,curvada,7,Petrolisthes_tridentatus
11.2,0,0,0,recta,7,Petrolisthes_tonsorius
10.8,1,0,0,recta,7,Petrolisthes_tonsorius
12.5,0,0,0,recta,7,Petrolisthes_tonsorius
6.5,1,2,3,discontinua,7,Pachycheles_serratus
7.2,0,2,2,discontinua,7,Pachycheles_serratus
5.8,1,1,3,discontinua,7,Pachycheles_serratus
8.1,1,3,2,recta,5,Pachycheles_monilifer
7.5,0,3,1,recta,5,Pachycheles_monilifer
8.8,1,3,2,recta,5,Pachycheles_monilifer
9.2,0,1,0,curvada,5,Pachycheles_riseii
8.7,1,1,0,curvada,5,Pachycheles_riseii
10.1,0,1,0,curvada,5,Pachycheles_riseii
7.8,1,2,1,discontinua,5,Pachycheles_ackleianus
6.9,0,2,0,discontinua,5,Pachycheles_ackleianus
8.5,1,2,1,discontinua,5,Pachycheles_ackleianus
5.5,1,1,2,recta,5,Neopisosoma_angustifrons
6.1,0,1,1,recta,5,Neopisosoma_angustifrons
4.8,1,0,2,recta,5,Neopisosoma_angustifrons
6.8,1,0,1,curvada,5,Neopisosoma_orientale
5.9,0,0,0,curvada,5,Neopisosoma_orientale
7.2,1,0,1,curvada,5,Neopisosoma_orientale
9.5,1,1,1,recta,7,Megalobrachium_poeyi
8.7,1,1,0,recta,7,Megalobrachium_poeyi
10.2,1,2,1,recta,7,Megalobrachium_poeyi
8.2,0,1,0,curvada,7,Megalobrachium_roseum
7.8,0,1,0,curvada,7,Megalobrachium_roseum
9.1,0,2,0,curvada,7,Megalobrachium_roseum
11.8,1,2,1,recta,7,Porcellana_sayana
10.5,0,2,0,recta,7,Porcellana_sayana
12.2,1,3,1,recta,7,Porcellana_sayana
6.2,1,0,1,recta,5,Neopisosoma_cf_neglectum
5.8,0,0,0,recta,5,Neopisosoma_cf_neglectum
7.1,1,0,1,recta,5,Neopisosoma_cf_neglectum
8.8,1,1,1,recta,5,Clastotoechus_nodosus
7.9,0,1,0,recta,5,Clastotoechus_nodosus
9.2,1,1,1,recta,5,Clastotoechus_nodosus
4.5,1,0,1,recta,7,Minyocerus_angustus
3.8,0,0,0,recta,7,Minyocerus_angustus
5.1,1,0,1,recta,7,Minyocerus_angustus
10.5,1,1,1,curvada,5,Megalobrachium_soriatum
9.8,0,1,0,curvada,5,Megalobrachium_soriatum
11.2,1,1,1,curvada,5,Megalobrachium_soriatum
9.2,1,1,1,recta,7,Megalobrachium_mortenseni
8.5,0,1,0,recta,7,Megalobrachium_mortenseni
10.1,1,1,1,recta,7,Megalobrachium_mortenseni
12.8,1,2,1,recta,7,Pisidia_brasiliensis
11.5,0,2,0,recta,7,Pisidia_brasiliensis
13.2,1,2,1,recta,7,Pisidia_brasiliensis
[file content end]
